PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
40089,-9.070422,-1.256515,-3.402741,-0.064243,0.116863,-0.044769,0.023817,-0.030410,-0.083766,1.000977,-0.313232,0.260254,-0.090704,-0.012523,-0.034043,1.000000,0.000119,-0.000152,-0.000419,-0.396695,0.664265,-0.488721,-0.403157,-159.739458,67.421395,-59.090180,0.197231,-0.329421,-0.923354,-0.969143,-0.207569,-0.132958,-0.147860,0.921085,-0.360195
40090,-9.140000,-1.281329,-3.384967,-0.064171,0.157176,0.016380,0.028103,-0.021221,-0.078021,0.994141,-0.318604,0.249756,-0.091401,-0.012773,-0.033861,1.000000,0.000141,-0.000106,-0.000390,-0.396997,0.664358,-0.488477,-0.403004,-159.612373,67.417266,-58.969987,0.197956,-0.329063,-0.923326,-0.969030,-0.207567,-0.133780,-0.147630,0.921213,-0.359961
40091,-9.181478,-1.265364,-3.390705,-0.099388,0.151731,0.054666,0.027503,-0.024054,-0.077851,0.988281,-0.308838,0.257324,-0.091816,-0.012613,-0.033920,1.000000,0.000138,-0.000120,-0.000389,-0.397643,0.664416,-0.487983,-0.402869,-159.369573,67.433015,-58.740950,0.199138,-0.328052,-0.923432,-0.968844,-0.207504,-0.135215,-0.147258,0.921588,-0.359154
40092,-9.206909,-1.286033,-3.440525,-0.084537,0.114237,0.098824,0.028072,-0.028697,-0.077471,1.000244,-0.305420,0.264404,-0.092069,-0.012820,-0.034420,1.000000,0.000140,-0.000143,-0.000387,-0.397963,0.664492,-0.487726,-0.402741,-159.239580,67.432709,-58.617600,0.199846,-0.327627,-0.923429,-0.968731,-0.207499,-0.136031,-0.147043,0.921740,-0.358850
40093,-9.297965,-1.242889,-3.405361,-0.161160,0.156147,0.164439,0.031719,-0.035385,-0.078007,0.994873,-0.313965,0.255127,-0.092978,-0.012387,-0.034072,1.000000,0.000159,-0.000177,-0.000390,-0.398659,0.664462,-0.487295,-0.402623,-159.000385,67.455795,-58.403147,0.200876,-0.326560,-0.923584,-0.968596,-0.207229,-0.137394,-0.146526,0.922179,-0.357932
40094,-9.380380,-1.289119,-3.385611,-0.142975,0.204390,0.239849,0.026770,-0.061995,-0.077444,0.995850,-0.315674,0.249512,-0.093798,-0.012850,-0.033887,1.000000,0.000134,-0.000310,-0.000387,-0.399055,0.664472,-0.486968,-0.402609,-158.854438,67.472948,-58.261761,0.201536,-0.325828,-0.923699,-0.968480,-0.207234,-0.138206,-0.146391,0.922437,-0.357323
40095,-9.390118,-1.320192,-3.403110,-0.121635,0.183466,0.259547,0.032427,-0.077269,-0.074692,1.004150,-0.312256,0.254883,-0.093893,-0.013161,-0.034070,1.000000,0.000162,-0.000386,-0.000373,-0.399750,0.664385,-0.486442,-0.402699,-158.620224,67.518827,-58.038111,0.202415,-0.324411,-0.924005,-0.968328,-0.207148,-0.139396,-0.146185,0.922956,-0.356066
40096,-9.338288,-1.330825,-3.385924,-0.109402,0.174331,0.207135,0.030753,-0.100645,-0.072967,0.999512,-0.309082,0.253662,-0.093371,-0.013269,-0.033908,1.000000,0.000154,-0.000503,-0.000365,-0.400244,0.664298,-0.486060,-0.402813,-158.457486,67.557182,-57.881088,0.202974,-0.323331,-0.924261,-0.968225,-0.207101,-0.140179,-0.146091,0.923345,-0.355093
40097,-9.315291,-1.325777,-3.323042,-0.127464,0.204460,0.163127,0.024955,-0.113979,-0.072277,1.003906,-0.302979,0.253174,-0.093139,-0.013220,-0.033285,1.000000,0.000125,-0.000570,-0.000361,-0.401061,0.664127,-0.485405,-0.403073,-158.190613,67.628687,-57.619813,0.203829,-0.321428,-0.924737,-0.968054,-0.207065,-0.141403,-0.146029,0.924018,-0.353365
40098,-9.304559,-1.341555,-3.259627,-0.124111,0.250035,0.133257,0.026558,-0.120120,-0.066748,1.007080,-0.313721,0.250732,-0.093030,-0.013380,-0.032654,1.000000,0.000133,-0.000601,-0.000334,-0.401575,0.663993,-0.484996,-0.403273,-158.026676,67.678275,-57.459026,0.204299,-0.320180,-0.925066,-0.967957,-0.207033,-0.142114,-0.146017,0.924458,-0.352217
40099,-9.280170,-1.307466,-3.271212,-0.157354,0.202871,0.110312,0.026687,-0.129416,-0.058547,0.998535,-0.304688,0.249512,-0.092784,-0.013043,-0.032774,1.000000,0.000133,-0.000647,-0.000293,-0.402413,0.663740,-0.484337,-0.403645,-157.764495,67.764925,-57.201993,0.204975,-0.318084,-0.925639,-0.967813,-0.206961,-0.143195,-0.146024,0.925197,-0.350268
40100,-9.238843,-1.282913,-3.254015,-0.178453,0.186375,0.062742,0.026724,-0.137819,-0.054187,0.995850,-0.307129,0.250244,-0.092369,-0.012800,-0.032606,1.000000,0.000134,-0.000689,-0.000271,-0.402945,0.663539,-0.483934,-0.403929,-157.605366,67.826178,-57.046665,0.205299,-0.316696,-0.926043,-0.967741,-0.206886,-0.143790,-0.146048,0.925690,-0.348954
40101,-9.172972,-1.271378,-3.257419,-0.179044,0.140694,0.001523,0.028319,-0.122498,-0.046591,1.002197,-0.304199,0.245117,-0.091713,-0.012688,-0.032632,1.000000,0.000142,-0.000612,-0.000233,-0.403655,0.663221,-0.483495,-0.404268,-157.406821,67.906144,-56.864270,0.205599,-0.314959,-0.926569,-0.967698,-0.206589,-0.144502,-0.145907,0.926349,-0.347260
40102,-9.120926,-1.252221,-3.165499,-0.202702,0.192913,-0.081222,0.028574,-0.118123,-0.040702,0.996826,-0.300781,0.244141,-0.091193,-0.012499,-0.031711,1.000000,0.000143,-0.000591,-0.000204,-0.404118,0.663023,-0.483180,-0.404508,-157.273068,67.959594,-56.737624,0.205821,-0.313781,-0.926919,-0.967656,-0.206452,-0.144978,-0.145873,0.926779,-0.346124
40103,-9.128752,-1.281559,-3.203931,-0.172658,0.148868,-0.056167,0.038018,-0.090929,-0.036116,0.997070,-0.305420,0.243652,-0.091275,-0.012793,-0.032083,1.000000,0.000190,-0.000455,-0.000181,-0.404750,0.662710,-0.482854,-0.404778,-157.103761,68.028586,-56.590066,0.206013,-0.312318,-0.927371,-0.967652,-0.206059,-0.145566,-0.145630,0.927361,-0.344666
40104,-9.126015,-1.261125,-3.147245,-0.202661,0.187056,-0.081106,0.032982,-0.081218,-0.034648,1.002441,-0.291748,0.239258,-0.091250,-0.012590,-0.031512,1.000000,0.000165,-0.000406,-0.000173,-0.405125,0.662562,-0.482642,-0.404897,-156.994466,68.063682,-56.492614,0.206230,-0.311493,-0.927600,-0.967629,-0.205861,-0.146001,-0.145478,0.927682,-0.343864
40105,-9.100084,-1.280464,-3.184286,-0.174949,0.134595,-0.089413,0.043359,-0.068232,-0.026388,0.999268,-0.302246,0.248535,-0.090992,-0.012786,-0.031877,1.000000,0.000217,-0.000341,-0.000132,-0.405693,0.662237,-0.482435,-0.405107,-156.854396,68.124371,-56.381578,0.206290,-0.310274,-0.927995,-0.967671,-0.205338,-0.146455,-0.145112,0.928206,-0.342603
40106,-9.064874,-1.332698,-3.218454,-0.114541,0.095371,-0.102679,0.044302,-0.061351,-0.025643,0.998779,-0.302979,0.239990,-0.090641,-0.013308,-0.032215,1.000000,0.000222,-0.000307,-0.000128,-0.406040,0.662085,-0.482315,-0.405151,-156.760688,68.150889,-56.307977,0.206450,-0.309652,-0.928167,-0.967682,-0.205006,-0.146845,-0.144809,0.928487,-0.341968
40107,-9.048859,-1.346388,-3.184491,-0.104595,0.112759,-0.127031,0.045682,-0.057855,-0.023358,1.001709,-0.309814,0.245850,-0.090481,-0.013446,-0.031874,1.000000,0.000228,-0.000289,-0.000117,-0.406558,0.661787,-0.482148,-0.405318,-156.633768,68.203691,-56.210180,0.206502,-0.308588,-0.928510,-0.967728,-0.204488,-0.147263,-0.144426,0.928955,-0.340857
40108,-9.058749,-1.373110,-3.203306,-0.080527,0.097617,-0.107456,0.043466,-0.048030,-0.025503,0.998291,-0.302979,0.246582,-0.090582,-0.013713,-0.032058,1.000000,0.000217,-0.000240,-0.000128,-0.406870,0.661663,-0.482054,-0.405320,-156.547834,68.223122,-56.144476,0.206680,-0.308089,-0.928636,-0.967738,-0.204163,-0.147649,-0.144104,0.929192,-0.340346
40109,-9.095065,-1.356922,-3.254628,-0.098487,0.047456,-0.058606,0.039683,-0.040467,-0.028798,1.009521,-0.301758,0.240723,-0.090946,-0.013550,-0.032567,1.000000,0.000198,-0.000202,-0.000144,-0.407311,0.661451,-0.481867,-0.405443,-156.428175,68.264165,-56.045630,0.206840,-0.307180,-0.928901,-0.967746,-0.203804,-0.148093,-0.143822,0.929572,-0.339427
40110,-9.086883,-1.393857,-3.246663,-0.065122,0.054908,-0.063439,0.035039,-0.040696,-0.029014,1.007324,-0.310791,0.240234,-0.090864,-0.013920,-0.032488,1.000000,0.000175,-0.000203,-0.000145,-0.407584,0.661367,-0.481760,-0.405434,-156.346490,68.278834,-55.979330,0.207062,-0.306744,-0.928996,-0.967736,-0.203567,-0.148482,-0.143567,0.929768,-0.338998
40111,-9.133168,-1.372343,-3.226222,-0.100526,0.072121,-0.030496,0.036321,-0.036301,-0.030562,1.000244,-0.301758,0.240234,-0.091328,-0.013704,-0.032281,1.000000,0.000182,-0.000182,-0.000153,-0.408008,0.661194,-0.481451,-0.405657,-156.216310,68.327091,-55.853802,0.207295,-0.305642,-0.929307,-0.967687,-0.203470,-0.148936,-0.143565,0.930152,-0.337944
40112,-9.182291,-1.405275,-3.201841,-0.085334,0.111536,0.011839,0.034600,-0.044792,-0.029990,1.002441,-0.300293,0.242188,-0.091818,-0.014033,-0.032041,1.000000,0.000173,-0.000224,-0.000150,-0.408290,0.661104,-0.481331,-0.405661,-156.130923,68.343640,-55.783256,0.207520,-0.305164,-0.929414,-0.967675,-0.203239,-0.149331,-0.143323,0.930359,-0.337476
40113,-9.211217,-1.393842,-3.152319,-0.111231,0.153670,0.020442,0.035087,-0.056024,-0.032865,1.002686,-0.297363,0.237305,-0.092106,-0.013918,-0.031551,1.000000,0.000175,-0.000280,-0.000164,-0.408744,0.660866,-0.481129,-0.405832,-156.009442,68.390870,-55.681302,0.207631,-0.304162,-0.929718,-0.967686,-0.202887,-0.149735,-0.143084,0.930765,-0.336459
40114,-9.217980,-1.422787,-3.194309,-0.081213,0.115415,0.045262,0.033065,-0.069489,-0.029412,1.003662,-0.298584,0.239014,-0.092171,-0.014209,-0.031977,1.000000,0.000165,-0.000347,-0.000147,-0.409080,0.660728,-0.480957,-0.405922,-155.910759,68.420379,-55.595544,0.207815,-0.303455,-0.929907,-0.967673,-0.202668,-0.150118,-0.142908,0.931043,-0.335763
