PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
54963,9.658790,1.751854,-0.822157,-0.801687,-0.028111,0.005330,-0.035982,-0.038643,-0.490759,-0.726563,0.363037,-0.004150,0.096632,0.017280,-0.008206,0.999997,-0.000180,-0.000193,-0.002454,0.426248,-0.431117,-0.597478,-0.524853,108.262681,-74.131925,165.657643,-0.264901,0.067731,0.961894,0.962601,0.077333,0.259651,-0.056800,0.994702,-0.085684
54964,9.680376,1.896386,-0.808617,-0.716553,-0.002043,0.058796,-0.019282,-0.033867,-0.476718,-0.727783,0.356445,0.006348,0.096850,0.018732,-0.008072,0.999997,-0.000096,-0.000169,-0.002384,0.424863,-0.429831,-0.598518,-0.525846,108.020750,-73.868172,165.897901,-0.269475,0.067698,0.960625,0.961347,0.077463,0.264218,-0.056526,0.994694,-0.085956
54965,9.636918,1.990089,-0.819392,-0.659705,-0.008298,0.039551,-0.008811,-0.033667,-0.456949,-0.728516,0.355713,0.000732,0.096416,0.019680,-0.008179,0.999997,-0.000044,-0.000168,-0.002285,0.423557,-0.428586,-0.599535,-0.526755,107.806334,-73.616404,166.116296,-0.273826,0.067682,0.959395,0.960127,0.077686,0.268555,-0.056355,0.994678,-0.086256
54966,9.637002,2.081552,-0.797821,-0.617540,0.020574,0.059458,0.000614,-0.032093,-0.449458,-0.731689,0.350830,0.004395,0.096418,0.020599,-0.007963,0.999997,0.000003,-0.000160,-0.002247,0.422288,-0.427330,-0.600559,-0.527629,107.602861,-73.367343,166.328954,-0.278125,0.067651,0.958160,0.958895,0.077995,0.272832,-0.056274,0.994656,-0.086562
54967,9.635228,2.199765,-0.829777,-0.545229,-0.001181,0.090225,0.011398,-0.039532,-0.439913,-0.734375,0.346924,-0.001709,0.096402,0.021786,-0.008277,0.999998,0.000057,-0.000198,-0.002200,0.421050,-0.426106,-0.601598,-0.528422,107.432952,-73.123700,166.513550,-0.282301,0.067704,0.956934,0.957674,0.078407,0.276972,-0.056279,0.994620,-0.086973
54968,9.610006,2.340017,-0.849347,-0.445670,-0.010295,0.104490,0.017993,-0.030270,-0.435335,-0.729004,0.338623,0.000488,0.096152,0.023192,-0.008477,0.999998,0.000090,-0.000151,-0.002177,0.419856,-0.424846,-0.602628,-0.529213,107.255405,-72.882301,166.710058,-0.286453,0.067662,0.955702,0.956435,0.078880,0.281088,-0.056367,0.994585,-0.087309
54969,9.540496,2.464179,-0.920577,-0.344925,-0.074728,0.077510,0.017736,-0.040641,-0.426907,-0.728271,0.338379,-0.003662,0.095459,0.024439,-0.009184,0.999998,0.000089,-0.000203,-0.002135,0.418661,-0.423648,-0.603653,-0.529952,107.108155,-72.645462,166.875227,-0.290492,0.067732,0.954477,0.955212,0.079347,0.285085,-0.056425,0.994543,-0.087748
54970,9.555527,2.648672,-0.850889,-0.219069,0.011913,0.137151,0.001530,-0.041845,-0.427699,-0.726807,0.333008,-0.006348,0.095613,0.026282,-0.008489,0.999998,0.000008,-0.000209,-0.002138,0.417413,-0.422472,-0.604642,-0.530747,106.955030,-72.405996,167.036752,-0.294567,0.067807,0.953222,0.953970,0.079651,0.289132,-0.056320,0.994514,-0.088148
54971,9.463166,2.557504,-0.909255,-0.317081,-0.058000,0.026776,-0.002529,-0.044315,-0.423511,-0.725098,0.325928,-0.007568,0.094688,0.025374,-0.009072,0.999998,-0.000013,-0.000222,-0.002118,0.416169,-0.421333,-0.605607,-0.531527,106.812701,-72.170246,167.185014,-0.298563,0.067914,0.951971,0.952736,0.079914,0.293102,-0.056170,0.994485,-0.088564
54972,9.587538,2.896738,-0.864785,-0.075522,0.023723,0.239845,-0.013214,-0.052583,-0.423742,-0.734131,0.332275,-0.005859,0.095939,0.028764,-0.008625,0.999998,-0.000066,-0.000263,-0.002119,0.414865,-0.420225,-0.606566,-0.532331,106.679367,-71.930941,167.317284,-0.302595,0.068097,0.950683,0.951479,0.080070,0.297113,-0.055889,0.994460,-0.089022
