PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
48386,-2.119655,-9.252052,-2.516942,-0.219672,0.162810,0.003301,-0.001165,0.002525,-0.009527,0.283203,0.575195,0.324463,-0.021201,-0.092520,-0.025169,1.000000,-0.000006,0.000013,-0.000048,0.583073,-0.692861,0.381868,-0.184789,-104.856054,10.908898,-49.319662,0.640059,-0.744654,-0.189248,-0.313672,-0.028405,-0.949106,0.701380,0.666846,-0.251758
48387,-2.115090,-9.220631,-2.479992,-0.201248,0.183481,-0.036705,0.000231,0.001820,-0.008965,0.277344,0.567139,0.327148,-0.021155,-0.092205,-0.024800,1.000000,0.000001,0.000009,-0.000045,0.583076,-0.692864,0.381846,-0.184813,-104.854364,10.905531,-49.318918,0.640076,-0.744654,-0.189190,-0.313615,-0.028432,-0.949125,0.701390,0.666845,-0.251733
48388,-2.128841,-9.138621,-2.452091,-0.216052,0.209245,-0.118945,0.001554,-0.000516,-0.009153,0.275879,0.575928,0.317871,-0.021293,-0.091385,-0.024522,1.000000,0.000008,-0.000003,-0.000046,0.583103,-0.692839,0.381858,-0.184794,-104.851577,10.909605,-49.318660,0.640071,-0.744641,-0.189260,-0.313624,-0.028350,-0.949124,0.701391,0.666863,-0.251684
48389,-2.119662,-9.171997,-2.456962,-0.203626,0.200560,-0.087798,-0.006476,-0.000514,-0.012158,0.280029,0.568848,0.316895,-0.021202,-0.091719,-0.024567,1.000000,-0.000032,-0.000003,-0.000061,0.583085,-0.692870,0.381824,-0.184806,-104.853390,10.904821,-49.316127,0.640114,-0.744625,-0.189178,-0.313594,-0.028445,-0.949131,0.701365,0.666877,-0.251718
48390,-2.122309,-9.203755,-2.494290,-0.221274,0.178085,-0.047745,0.000157,0.000191,-0.009715,0.281250,0.565186,0.311523,-0.021228,-0.092037,-0.024943,1.000000,0.000001,0.000001,-0.000049,0.583108,-0.692848,0.381836,-0.184790,-104.851011,10.908502,-49.315956,0.640108,-0.744614,-0.189241,-0.313604,-0.028372,-0.949130,0.701366,0.666892,-0.251675
48391,-2.097418,-9.181624,-2.483378,-0.205396,0.166321,-0.076225,0.003848,-0.000953,-0.009897,0.276123,0.568115,0.318848,-0.020979,-0.091815,-0.024836,1.000000,0.000019,-0.000005,-0.000049,0.583129,-0.692845,0.381799,-0.184813,-104.846925,10.905044,-49.313518,0.640147,-0.744595,-0.189182,-0.313516,-0.028381,-0.949159,0.701370,0.666913,-0.251610
48392,-2.102919,-9.158642,-2.405517,-0.162026,0.220729,-0.116578,0.009738,-0.000322,-0.015862,0.271729,0.572998,0.322266,-0.021036,-0.091584,-0.024060,1.000000,0.000049,-0.000002,-0.000079,0.583180,-0.692808,0.381781,-0.184828,-104.839079,10.905694,-49.312187,0.640163,-0.744579,-0.189193,-0.313426,-0.028289,-0.949191,0.701395,0.666935,-0.251480
48393,-2.125665,-9.181502,-2.415562,-0.177863,0.231675,-0.088076,0.005866,0.004472,-0.010256,0.281250,0.579590,0.320313,-0.021262,-0.091813,-0.024158,1.000000,0.000029,0.000022,-0.000051,0.583196,-0.692795,0.381757,-0.184876,-104.834405,10.901250,-49.312760,0.640165,-0.744596,-0.189117,-0.313321,-0.028287,-0.949226,0.701440,0.666916,-0.251406
48394,-2.118847,-9.108813,-2.413843,-0.195260,0.225043,-0.158783,0.000630,0.003061,-0.012136,0.275879,0.572510,0.313965,-0.021194,-0.091087,-0.024138,1.000000,0.000003,0.000015,-0.000061,0.583211,-0.692774,0.381770,-0.184879,-104.832318,10.903007,-49.314207,0.640143,-0.744608,-0.189147,-0.313315,-0.028233,-0.949229,0.701463,0.666905,-0.251370
48395,-2.117822,-9.109001,-2.414036,-0.195240,0.224638,-0.158774,-0.003463,0.002964,-0.008782,0.277344,0.574463,0.321289,-0.021183,-0.091089,-0.024138,1.000000,-0.000017,0.000015,-0.000044,0.583199,-0.692787,0.381756,-0.184898,-104.832870,10.899609,-49.314154,0.640151,-0.744616,-0.189089,-0.313285,-0.028282,-0.949238,0.701470,0.666894,-0.251382
